accuracy,precision,recall,f1_score,roc_auc,sensitivity,specificity,ppv,npv,fold
0.95,1.0,0.9,0.9473684210526315,0.99,0.9,1.0,1.0,0.9090909090909091,1
0.95,0.9090909090909091,1.0,0.9523809523809523,0.99,1.0,0.9,0.9090909090909091,1.0,2
0.9,0.8333333333333334,1.0,0.9090909090909091,0.9800000000000001,1.0,0.8,0.8333333333333334,1.0,3
0.9,1.0,0.8,0.8888888888888888,0.99,0.8,1.0,1.0,0.8333333333333334,4
0.85,0.8888888888888888,0.8,0.8421052631578947,0.98,0.8,0.9,0.8888888888888888,0.8181818181818182,5
